entry,bandgap_energy_ev,dataset,formation_energy_ev_natom,id,lattice_angle_alpha_degree,lattice_angle_beta_degree,lattice_angle_gamma_degree,lattice_vector_1_ang,lattice_vector_2_ang,lattice_vector_3_ang,number_of_total_atoms,percent_atom_al,percent_atom_ga,percent_atom_in,spacegroup
104,3.2351,train,0.008,105,89.9993,103.9031,90.0002,24.2072,5.9735,5.7364,80,0.6875,0.3125,0,12
105,3.1446,train,0.0254,106,90.0014,90.0022,90.0018,5.0054,8.6011,9.2252,40,0.5,0.5,0,33
106,3.5738,train,0.0373,107,90.0032,90.0023,90.0016,4.9615,8.5264,9.1536,40,0.6875,0.3125,0,33
107,1.6429,train,0.352,108,90.003,90,90.0005,10.5799,9.0331,9.6613,80,0.4688,0.0312,0.5,33
108,2.0435,train,0.3011,109,90.0035,90.0008,90.0007,5.1987,8.8908,9.5195,40,0.5625,0.0625,0.375,33
109,2.0056,train,0.2573,110,90.001,90.0018,89.9993,9.6375,9.6371,9.6374,80,0.5,0,0.5,206
110,1.8474,train,0.2297,111,89.9997,104.6791,90.0001,24.3844,6.2195,6.1079,80,0.4375,0.25,0.3125,12
111,1.2062,train,0.1093,112,90.0005,90.0008,89.9993,10.0863,10.0862,10.0865,80,0.1562,0,0.8438,206
112,2.1744,train,0.0557,113,89.997,90.0018,90.002,5.1076,8.7756,9.3922,40,0.0625,0.9375,0,33
113,2.508,train,0.1794,114,90.003,90.0014,90.0009,10.2588,8.786,9.4134,80,0.5625,0.1875,0.25,33
114,4.5094,train,0.0684,115,89.9866,90.0143,120.0017,9.7501,4.8748,13.2566,60,0.8333,0.125,0.0417,167
115,1.6991,train,0.0784,116,89.9972,90.0008,90.001,10.4524,8.9578,9.5751,80,0,0.8125,0.1875,33
116,1.1281,train,0.402,117,90.0123,90.0054,119.9935,6.5261,6.5257,24.2821,80,0.3438,0.3125,0.3438,194
117,2.1189,train,0.1984,118,95.3405,94.6471,30.2148,10.2359,5.8895,14.5509,40,0.5,0.25,0.25,227
118,2.0981,train,0.1219,119,89.9997,104.6682,90.0001,24.4169,6.2284,6.1143,80,0.4062,0.2812,0.3125,12
119,1.8358,train,0.2107,120,90.0019,90.0001,90.0005,5.2772,9.018,9.6441,40,0.375,0.1875,0.4375,33
120,1.0169,train,0.439,121,89.9923,90.0076,119.9949,5.9907,5.9905,14.6544,40,0.5,0.1875,0.3125,227
121,2.2377,train,0.2558,122,90.0012,90.0021,89.9993,9.5151,9.5146,9.5149,80,0.5938,0,0.4062,206
122,3.475,train,0.1466,123,89.99,90.0109,120.0014,9.9621,4.9808,13.4799,60,0.6667,0.1667,0.1667,167
123,1.437,train,0.2271,124,89.997,90.0018,120.0011,5.3641,5.3636,14.29,30,0.1667,0.1667,0.6667,167
124,2.3018,train,0.2077,125,90.0031,90.0033,89.9967,9.4682,9.4679,9.4679,80,0.375,0.375,0.25,206
125,1.1339,train,0.3481,126,90.0001,105.7537,90,24.4881,6.5441,6.6348,80,0.2188,0,0.7812,12
126,1.0338,train,0.075,127,90.0015,90.0013,89.9979,10.0964,10.0964,10.0965,80,0,0.2188,0.7812,206
127,1.6865,train,0.2583,128,90.0009,90.0016,89.9993,9.7191,9.7187,9.7191,80,0.4375,0,0.5625,206
128,1.9135,train,0.2444,129,90.0146,90.0147,119.9959,6.4621,6.4617,24.1108,80,0.625,0,0.375,194
129,2.5233,train,0.2431,130,90.0036,90.0014,90.0009,10.2295,8.761,9.3896,80,0.625,0.125,0.25,33
130,2.2335,train,0.2485,131,89.9929,90.0073,120.0014,5.1519,5.1516,13.8434,30,0.5,0.0833,0.4167,167
131,1.6618,train,0.2402,132,90.0014,90.0019,89.9986,9.6768,9.6764,9.6767,80,0.4062,0.0938,0.5,206
132,1.8691,train,0.0969,133,89.9999,104.4479,90.0001,12.2979,3.1189,6.082,20,0.25,0.5,0.25,12
133,0.7928,train,0.4461,134,90.013,90.0049,119.9915,6.6284,6.6281,24.4665,80,0.3125,0.2188,0.4688,194
134,1.9323,train,0.2109,135,89.9966,90.0034,120.0009,5.2138,5.2134,13.9681,30,0.25,0.3333,0.4167,167
135,3.3455,train,0.1231,136,90.0039,90.0042,89.9965,9.1957,9.1953,9.1952,80,0.5625,0.4062,0.0312,206
136,3.2971,train,0.0441,137,89.9994,103.8806,90.0002,12.1361,2.9957,5.7492,20,0.625,0.375,0,12
137,5.2114,train,0.0738,138,90.0024,90.0036,89.9994,8.9847,8.9839,8.9843,80,1,0,0,206
138,2.3364,train,0.1206,139,89.9996,104.4396,90.0002,24.3767,6.1582,6.0053,80,0.4688,0.3125,0.2188,12
139,2.5592,train,0.4163,140,89.9999,89.998,120.0005,5.8341,5.8343,14.3401,40,0.8125,0,0.1875,227
140,2.7698,train,0.218,141,89.9916,90.0089,120.0015,10.1762,5.0878,13.7084,60,0.5833,0.0833,0.3333,167
141,1.3464,train,0.1496,142,89.9982,90.0005,120.0009,5.3847,5.3842,14.3315,30,0.0833,0.25,0.6667,167
142,1.2158,train,0.3581,143,89.9999,105.4406,90.0001,12.1835,3.2061,6.4421,20,0.375,0,0.625,12
143,1.2056,train,0.2891,144,90.0017,89.9979,90.0004,5.4797,9.3301,9.9569,40,0.25,0,0.75,33
144,1.2841,train,0.255,145,90.0008,89.999,90.0003,10.7661,9.1852,9.8098,80,0.2188,0.2188,0.5625,33
145,1.0168,train,0.0747,146,90.0008,90.0008,89.9989,10.1533,10.1533,10.1535,80,0.0625,0.0625,0.875,206
146,3.5451,train,0.1068,147,90.0042,90.0044,89.9963,9.168,9.1675,9.1675,80,0.5625,0.4375,0,206
147,2.6278,train,0.1904,148,89.9942,90.0065,120.001,5.0862,5.0858,13.6981,30,0.4167,0.3333,0.25,167
148,2.9037,train,0.0993,149,90.0052,90.0048,89.9946,9.2727,9.2725,9.2722,80,0.3125,0.6875,0,206
149,1.0297,train,0.0977,150,90.0018,90.0016,89.9975,10.041,10.041,10.041,80,0,0.2812,0.7188,206
150,1.5878,train,0.3689,151,89.9997,105.179,90.0001,12.135,3.1533,6.288,20,0.5,0,0.5,12
151,2.5144,train,0.1381,152,90.0009,90.0018,90.0014,10.1585,8.7171,9.3405,80,0.4062,0.5,0.0938,33
152,0.9384,train,0.3341,153,83.7426,82.7531,30.6289,10.3492,5.9826,14.4464,40,0.3125,0.375,0.3125,227
153,4.3239,train,0.0995,154,89.9868,90.0141,120.0017,4.8966,4.8964,13.3033,30,0.8333,0.0833,0.0833,167
154,3.0472,train,0.2066,155,89.9901,90.0106,120.0015,10.0485,5.024,13.5733,60,0.6667,0.0833,0.25,167
155,1.4593,train,0.0092,156,90.0002,104.6927,90.0001,24.8227,6.3789,6.2612,80,0,0.625,0.375,12
156,2.0491,train,0.2358,157,89.9997,104.5021,90.0001,24.4334,6.1934,6.0501,80,0.4062,0.3438,0.25,12
157,1.4018,train,0.2349,158,90.0106,90.0042,119.9924,6.5691,6.5688,24.3694,80,0.2812,0.3438,0.375,194
158,1.0404,train,0.3134,159,90.0155,90.0018,120.0027,5.929,5.9282,14.0415,40,0.5625,0.25,0.1875,227
159,4.2897,train,0.0515,160,89.9894,90.0117,120.0012,4.8947,4.8944,13.293,30,0.6667,0.3333,0,167
160,1.7931,train,0.1379,161,89.9986,90.0008,90.0009,10.4287,8.9342,9.5539,80,0.125,0.6562,0.2188,33
161,1.0134,train,0.115,162,90.0011,90.0012,89.9985,10.0571,10.057,10.0572,80,0.0938,0.125,0.7812,206
162,2.6134,train,0.1194,163,90.0052,90.0048,89.9943,9.3266,9.3264,9.3261,80,0.25,0.7188,0.0312,206
163,2.3529,train,0.0123,164,89.9999,103.7358,90.0001,24.6943,6.1068,5.8324,80,0.2188,0.7812,0,12
164,2.001,train,0.15,165,89.9998,104.7501,90.0001,24.4087,6.2459,6.1464,80,0.4062,0.25,0.3438,12
165,1.246,train,0.1061,166,89.9983,89.9989,90.0001,5.3995,9.22,9.8402,40,0,0.5,0.5,33
166,1.1435,train,0.3069,167,90.0077,90.0036,119.9943,6.4508,6.4507,24.1753,80,0.2188,0.5938,0.1875,194
167,1.6526,train,0.391,168,98.9341,100.5107,31.683,9.8517,5.7884,14.5524,40,0.6875,0,0.3125,227
168,2.8254,train,0.1382,169,89.9941,90.0068,120.0009,5.043,5.0426,13.6046,30,0.4167,0.4167,0.1667,167
169,3.7804,train,0.0606,170,89.9923,90.0089,120.0009,4.936,4.9356,13.3762,30,0.5,0.5,0,167
170,1.6062,train,0.4439,171,90.0152,90.0059,119.9995,6.2998,6.2995,23.8295,80,0.625,0.2188,0.1562,194
171,1.9578,train,0.2213,172,89.998,90.0023,119.9971,5.7896,5.7894,14.1688,40,0.6875,0.25,0.0625,227
172,0.461,train,0.4095,173,91.1886,91.3794,30.3686,10.6585,6.1769,15.2114,40,0.3125,0.0625,0.625,227
173,1.4338,train,0.3317,174,90.0166,90.011,119.9926,6.6025,6.6021,24.3892,80,0.4688,0.0312,0.5,194
174,0.9743,train,0.0982,175,90.0008,90.0009,89.9989,10.1125,10.1124,10.1127,80,0.0938,0.0625,0.8438,206
175,4.2811,train,0.0428,176,89.9894,90.0117,120.0012,4.8947,4.8944,13.293,30,0.6667,0.3333,0,167
176,3.2662,train,0.2187,177,90.0018,90.0029,89.9993,9.2295,9.2288,9.2292,80,0.8125,0,0.1875,206
177,1.262,train,0.1282,178,90.0031,90.0027,89.996,9.847,9.847,9.8468,80,0,0.5,0.5,206
178,1.2786,train,0.3492,179,90.0151,90.0096,119.9939,6.5331,6.5327,24.2685,80,0.4688,0.125,0.4062,194
179,1.8436,train,0.2757,180,89.9939,90.0057,120.0015,5.259,5.2586,14.0718,30,0.4167,0,0.5833,167
180,0.4109,train,0.4952,181,91.0287,91.1936,30.339,10.4164,6.0348,14.86,40,0.4375,0.125,0.4375,227
181,1.9456,train,0.1261,182,89.9998,104.5639,90.0001,24.4901,6.2287,6.0949,80,0.3438,0.375,0.2812,12
182,2.5344,train,0.1332,183,90.001,90.0017,90.0013,10.1932,8.7434,9.367,80,0.4062,0.4688,0.125,33
183,2.4253,train,0.0254,184,89.9998,103.7468,90.0001,12.3309,3.049,5.826,20,0.25,0.75,0,12
184,1.2053,train,0.3432,185,90.0173,90.0113,119.9922,6.6257,6.6252,24.4294,80,0.4688,0,0.5312,194
185,1.0775,train,0.1025,186,90.002,90.0018,89.9973,10.0132,10.0133,10.0133,80,0,0.3125,0.6875,206
186,2.5823,train,0.0744,187,89.9993,90.002,120,5.0391,5.0386,13.584,30,0.0833,0.9167,0,167
187,2.2313,train,0.2135,188,90.0028,90.0031,89.9971,9.4828,9.4825,9.4825,80,0.4062,0.3125,0.2812,206
188,1.0964,train,0.271,189,90.0136,90.0049,119.9912,6.6515,6.6511,24.5067,80,0.3125,0.1875,0.5,194
189,1.2417,train,0.3761,190,90.0068,89.9959,119.9994,6.002,6.0012,14.3698,40,0.5625,0.125,0.3125,227
190,3.1663,train,0.0352,191,89.9994,103.8693,90.0002,24.3046,6.0002,5.7556,80,0.5938,0.4062,0,12
191,1.5455,train,0.1279,192,97.014,95.6274,30.0951,10.3453,5.9103,14.7735,40,0,0.9375,0.0625,227
192,1.0193,train,0.2351,193,90.0196,89.9997,119.9879,3.4282,3.4279,12.4378,10,0.25,0,0.75,194
193,3.2617,train,0.0856,194,90.0024,90.0022,90.0016,10.0015,8.59,9.2159,80,0.5938,0.375,0.0312,33
194,0.6236,train,0.4327,195,90.0068,89.9959,119.9994,6.002,6.0012,14.3698,40,0.5625,0.125,0.3125,227
195,1.5498,train,0.3506,196,90.0028,89.9998,90.0005,10.6292,9.0718,9.6997,80,0.4375,0.0312,0.5312,33
196,1.9743,train,0.2227,197,90.0023,90.0006,90.0006,10.4559,8.9407,9.5672,80,0.4375,0.1875,0.375,33
197,2.5513,train,0.2126,198,90.0026,90.0031,89.9976,9.4158,9.4154,9.4155,80,0.5,0.25,0.25,206
198,2.6141,train,0.2042,199,90.0031,90.0034,89.9971,9.3604,9.36,9.3601,80,0.5,0.3125,0.1875,206
199,0.9677,train,0.0598,200,90.0006,90.0007,89.9991,10.181,10.181,10.1813,80,0.0625,0.0312,0.9062,206
200,2.6453,train,0.1985,201,89.9942,90.0065,120.001,5.0862,5.0858,13.6981,30,0.4167,0.3333,0.25,167
201,1.0341,train,0.1848,202,89.9997,89.9976,90.0001,11.0125,9.3786,10.002,80,0.0625,0.2188,0.7188,33
202,0.91,train,0.0416,203,90.0008,90.0008,89.9987,10.2072,10.2072,10.2074,80,0,0.0938,0.9062,206
203,0.7935,train,0.2808,204,90.0005,89.9974,119.9883,6.7431,6.7427,24.7186,80,0.0312,0.4688,0.5,194
204,2.1374,train,0.1848,205,90.0016,90.001,90.0008,10.3665,8.8745,9.4996,80,0.4062,0.3125,0.2812,33
205,1.3027,train,0.1283,206,90.0032,90.0028,89.9957,9.8193,9.8193,9.8191,80,0,0.5312,0.4688,206
206,3.382,train,0.0772,207,89.9938,90.0075,120.0007,4.9566,4.9562,13.4178,30,0.4167,0.5833,0,167
207,2.0563,train,0.1883,208,89.9997,104.6791,90.0001,24.3844,6.2195,6.1079,80,0.4375,0.25,0.3125,12
208,1.4562,train,0.178,209,91.3858,91.6102,30.6656,10.0112,5.8192,14.4072,40,0.125,0.75,0.125,227
209,1.8646,train,0.2289,210,90.0111,90.0042,119.9945,6.4667,6.4665,24.1851,80,0.3125,0.4375,0.25,194
210,1.9064,train,0.3169,211,90.0152,90.0059,119.9995,6.2998,6.2995,23.8295,80,0.625,0.2188,0.1562,194
211,2.0724,train,0.1768,212,89.9997,104.5856,90.0001,24.4252,6.2109,6.0822,80,0.4062,0.3125,0.2812,12
212,1.3425,train,0.01,213,90.0003,105.0881,90,24.7815,6.4664,6.4217,80,0,0.4688,0.5312,12
213,1.2221,train,0.2933,214,91.0284,91.1952,30.3483,10.3967,6.0239,14.8421,40,0.1875,0.5,0.3125,227
214,3.1668,train,0.2311,215,90.0177,89.9981,120.0032,6.165,6.1648,23.5817,80,0.6875,0.3125,0,194
215,2.3949,train,0.1818,216,90.0037,90.0037,89.9961,9.4259,9.4256,9.4255,80,0.3438,0.4688,0.1875,206
216,3.6619,train,0.1295,217,89.9886,90.0123,120.0016,4.9604,4.9602,13.4383,30,0.75,0.0833,0.1667,167
217,1.9307,train,0.0905,218,89.9975,90.0012,90.0013,10.3539,8.8804,9.4982,80,0.0625,0.8125,0.125,33
218,2.8518,train,0.163,219,89.9927,90.0082,120.0011,5.0223,5.022,13.5631,30,0.5,0.3333,0.1667,167
219,1.8048,train,0.2107,220,90.0011,90.0003,90.0006,10.5143,8.9905,9.6149,80,0.3125,0.3125,0.375,33
220,1.202,train,0.117,221,90.0025,90.0022,89.9966,9.9301,9.9301,9.9301,80,0,0.4062,0.5938,206
